sync_wavelet2_x,sync_wavelet2_allan_var,async_wavelet2_x,async_wavelet2_allan_var
10,2.2810984084623783e-08,10,4.1835518566358135e-08
20,1.3442649857101293e-08,20,2.0127854159185896e-08
30,1.3868920030423795e-08,30,1.9488049286841055e-08
40,1.8257436874349e-08,40,3.376494179480676e-08
50,1.8478818002729684e-08,50,2.4526862931647202e-08
60,2.2671109637355447e-08,60,4.553614400395279e-08
70,1.1841146722443925e-08,70,1.4006265119865032e-08
80,1.7509585207305635e-08,80,2.987404179889292e-08
90,1.7624225988041945e-08,90,2.907569480443338e-08
100,7.423995220660769e-09,100,8.788893046778337e-09
110,2.3328923262478754e-08,110,4.4633678031505044e-08
120,1.2685489123836989e-08,120,1.748142134002564e-08
130,1.9862479293957467e-08,130,3.530517663481434e-08
140,1.3636555141598367e-08,140,2.0899945133060473e-08
150,1.730148901484315e-08,150,2.364086889866571e-08
160,2.1761537738933366e-08,160,4.277961485602303e-08
170,1.1515823591642523e-08,170,1.4720762849389431e-08
180,2.2460844021638924e-08,180,4.3945723932495226e-08
190,1.4063641435333994e-08,190,2.0101400483061895e-08
200,1.2672918535610348e-08,200,2.097520429328056e-08
210,1.8414556751854926e-08,210,3.480456814987959e-08
220,1.3259604395438367e-08,220,1.8802325086035707e-08
230,2.434271048843649e-08,230,4.830658541995623e-08
240,1.2057181862359914e-08,240,1.77856087431696e-08
250,2.0937894048655698e-08,250,3.486593761305075e-08
260,1.6914599593628328e-08,260,2.9996472540426566e-08
270,1.254100757664531e-08,270,1.8678718622496445e-08
280,2.3147050190960476e-08,280,4.8485823239119116e-08
290,1.39370640969161e-08,290,2.0476672515409854e-08
300,2.0311957705657206e-08,300,4.040839459757848e-08
310,1.3691727140387375e-08,310,2.4048593464505538e-08
320,1.488400124191762e-08,320,2.3653001932149287e-08
330,2.2493278116663182e-08,330,4.495729620534743e-08
340,1.2545730056179143e-08,340,2.0077253166105096e-08
350,2.5553339715959826e-08,350,4.901210116036473e-08
360,1.4609882917733757e-08,360,2.2379395678628022e-08
370,1.586230736066255e-08,370,2.746601421877954e-08
380,1.8510986457922064e-08,380,3.726698924604698e-08
390,1.4123173481489906e-08,390,2.118831506550752e-08
400,2.3478624575157563e-08,400,4.969557591824728e-08
410,1.2437624479681567e-08,410,2.0037124607077337e-08
420,1.9923335510576386e-08,420,3.533131110621425e-08
430,1.6745596933906562e-08,430,2.9480030100160713e-08
440,1.2832581991070444e-08,440,2.0448667090775217e-08
450,2.496520759799483e-08,450,4.8540201387277365e-08
460,1.363599843150997e-08,460,1.9266799725484406e-08
470,2.0808645458630318e-08,470,3.936122596911545e-08
480,1.2688963063728335e-08,480,2.166839448522198e-08
490,1.4889842954125285e-08,490,2.1549555123740173e-08
500,1.8931946982447287e-08,500,3.854399232046196e-08
510,1.1471751187205167e-08,510,1.6951038512699414e-08
520,2.3447789939607823e-08,520,4.513444996941839e-08
530,1.3037304128426918e-08,530,1.8164576620308513e-08
540,1.5437892903520484e-08,540,2.537834460077839e-08
550,1.8765914763645667e-08,550,3.311240668236302e-08
560,1.3270091907489143e-08,560,1.7372341468919145e-08
570,2.2747335316665748e-08,570,4.465320985809527e-08
580,1.0353656812382587e-08,580,1.4770346894900164e-08
590,1.9167547505373977e-08,590,3.146779504651201e-08
600,1.3269262786114232e-08,600,2.2474591177767496e-08
610,1.1916033514244733e-08,610,1.6557130904387377e-08
620,2.2329029205133586e-08,620,4.3647121393906924e-08
630,1.2834777175923152e-08,630,1.6015861615458654e-08
640,2.1286884937448053e-08,640,3.884691893302873e-08
650,1.3569518088366372e-08,650,1.95464228292856e-08
660,1.521939843744064e-08,660,2.127894202045465e-08
670,1.9466978006531237e-08,670,3.657439373291192e-08
680,1.0126508548695551e-08,680,1.355049872600148e-08
690,2.3780237385308983e-08,690,4.405645315647143e-08
700,1.1216945947753431e-08,700,1.561641153672124e-08
710,1.4905355751724913e-08,710,2.393883548854553e-08
720,1.5974943499813023e-08,720,2.9949208717514885e-08
730,1.3740519407231927e-08,730,1.7430200622140312e-08
740,2.2948361353318344e-08,740,4.480447160294678e-08
750,1.1982016111218792e-08,750,1.5234776404001273e-08
760,2.0397719889144317e-08,760,3.4303383513136264e-08
770,1.3848304604394958e-08,770,2.226867812702827e-08
780,1.0860989709380794e-08,780,1.4746326249025618e-08
790,2.213246643714429e-08,790,4.25822978051905e-08
800,1.1547126471646288e-08,800,1.5592123024424458e-08
810,2.0791213634063667e-08,810,3.830608099399806e-08
820,1.143030632294865e-08,820,1.753211999684787e-08
830,1.5612718501338018e-08,830,2.215589198613231e-08
840,1.9586105673521608e-08,840,3.716426258158053e-08
850,1.2033626251422543e-08,850,1.5511513150477792e-08
860,2.493646781255873e-08,860,4.7006465174477237e-08
870,1.23227653768157e-08,870,1.700221326454304e-08
880,1.5230619039196013e-08,880,2.5143323300166992e-08
890,1.6283030961805932e-08,890,2.9484684853228676e-08
900,1.2347245711109038e-08,900,1.8333761643585408e-08
910,2.2751685558931823e-08,910,4.576403527427899e-08
920,1.0957394221504812e-08,920,1.5596958629710568e-08
930,2.1469491449956633e-08,930,3.685416042982665e-08
940,1.4704858701393093e-08,940,2.5647686932446706e-08
950,1.4122663684090449e-08,950,2.0228765527537013e-08
960,2.3332999579030857e-08,960,4.599043789389978e-08
970,1.3263576615323403e-08,970,2.046455986772891e-08
980,2.1622783505364763e-08,980,4.2520596065830684e-08
990,1.2615795231126947e-08,990,2.0568815308438046e-08
1000,1.577902015811282e-08,1000,2.6740933393468237e-08
1010,1.910574436245859e-08,1010,3.903667402348843e-08
1020,1.0812691876025034e-08,1020,1.777185712312061e-08
1030,2.5514968035155858e-08,1030,4.9825901140173845e-08
1040,1.2685337012562843e-08,1040,2.1487139874881055e-08
1050,1.834860108266099e-08,1050,3.091396780636644e-08
1060,1.7841972842302863e-08,1060,3.380745933534157e-08
1070,1.4051143354971182e-08,1070,2.306915874113823e-08
1080,2.2932860629667732e-08,1080,4.841974000232628e-08
1090,1.1871897824204887e-08,1090,1.867332213400106e-08
1100,2.143426856166948e-08,1100,4.021351419384982e-08
1110,1.394999380503573e-08,1110,2.5797000361721452e-08
1120,1.2635034730180277e-08,1120,2.030778266234297e-08
1130,2.2734694588064002e-08,1130,4.542794027677234e-08
1140,1.3069341020393134e-08,1140,2.0907187711366426e-08
1150,2.312645659488872e-08,1150,4.3270023266707025e-08
1160,1.3891017835291332e-08,1160,2.1931571838299756e-08
1170,1.6374034025370198e-08,1170,2.7067856364481392e-08
1180,1.769054392524749e-08,1180,3.607298799421134e-08
1190,1.116383535255779e-08,1190,1.6246655972655787e-08
1200,2.483985664649569e-08,1200,4.88693162236218e-08
1210,1.1301709598272401e-08,1210,1.7446743021787585e-08
1220,1.6300443277169363e-08,1220,2.7623147334851158e-08
1230,1.6240621379841034e-08,1230,2.859411174379699e-08
1240,1.295790008718227e-08,1240,1.9091779863258183e-08
1250,2.2631471969150376e-08,1250,4.400486419950718e-08
1260,1.2361242475979703e-08,1260,1.699454565610768e-08
1270,2.177265353917137e-08,1270,3.8636214393199806e-08
1280,1.2082249186931041e-08,1280,2.0398046693925935e-08
1290,1.2412357041841201e-08,1290,1.728127191242107e-08
1300,2.0565855144117928e-08,1300,4.1121893125867685e-08
