sync_x,sync_allan_var,async_x,async_allan_var,sync_kalman_x,sync_kalman_allan_var,async_kalman_x,async_kalman_allan_var,sync_wavelet_x,sync_wavelet_allan_var,async_wavelet_x,async_wavelet_allan_var,sync_average_x,sync_average_allan_var,async_average_x,async_average_allan_var
10,2.9640424819973923e-08,10,5.1813541369319023e-08,10,2.8614650694633892e-08,10,5.3412869107387033e-08,10,2.0136948520226107e-08,10,3.966887975949897e-08,10,2.5028823682315438e-08,10,4.540607226682307e-08
20,1.8552443123929872e-08,20,2.9247707383376238e-08,20,1.6281041650672845e-08,20,2.6363864187581203e-08,20,1.0948783144120015e-08,20,1.794772349039037e-08,20,1.4984229747354207e-08,20,2.408030560918532e-08
30,1.9515473211847683e-08,30,2.67431637841735e-08,30,1.6809660463659046e-08,30,2.4295808428308582e-08,30,1.1005814578497192e-08,30,1.6724072336018957e-08,30,1.5430690877383092e-08,30,2.1751505538555767e-08
40,2.322110238435876e-08,40,4.226758271649448e-08,40,2.17341170096297e-08,40,4.238695809823917e-08,40,1.547590507803743e-08,40,3.117437887320441e-08,40,1.9212335458997335e-08,40,3.629955451590644e-08
50,3.144955250639274e-08,50,4.490561783908505e-08,50,2.6213222677794725e-08,50,3.759446862966775e-08,50,1.6300860700202314e-08,50,2.2460619060446676e-08,50,2.4648087923826302e-08,50,3.523881656691592e-08
60,2.8334808163169344e-08,60,5.5711404875343506e-08,60,2.742324083482333e-08,60,5.754086016923363e-08,60,1.9962841173579008e-08,60,4.3236213714795695e-08,60,2.3863760148626662e-08,60,4.8697629372090564e-08
70,1.7008172991335215e-08,70,2.0148094235191145e-08,70,1.4122094971397472e-08,70,1.6891245506798782e-08,70,8.971425319642273e-09,70,1.1039506274140137e-08,70,1.3174844929042663e-08,70,1.5681452005376868e-08
80,2.3356536198892928e-08,80,4.049078849689762e-08,80,2.1387469904737353e-08,80,3.872517336573384e-08,80,1.4775312701738163e-08,80,2.741241505224817e-08,80,1.913248195404955e-08,80,3.39903707508144e-08
90,2.3686039525394983e-08,90,3.7566160903880735e-08,90,2.1921430453429707e-08,90,3.705828067881131e-08,90,1.4922994944485076e-08,90,2.6711322059985517e-08,90,1.9581097380110455e-08,90,3.235175386484196e-08
100,8.741385287754502e-09,100,1.0812922560932677e-08,100,7.310797624825948e-09,100,9.195615930987213e-09,100,4.496930228194877e-09,100,5.888057633280364e-09,100,6.733290030159632e-09,100,8.46385909082146e-09
110,2.998683533626797e-08,110,5.422116519821428e-08,110,2.9272807762374613e-08,110,5.6986553969690596e-08,110,2.058083750115565e-08,110,4.2477626622800044e-08,110,2.5341901818894858e-08,110,4.792599502705132e-08
120,1.808186105372867e-08,120,2.6533815950238626e-08,120,1.5499344910070634e-08,120,2.307472667377262e-08,120,1.0218085665065926e-08,120,1.5241036005669723e-08,120,1.4337522463830162e-08,120,2.132586774325114e-08
130,2.649358333551568e-08,130,4.4869260382614814e-08,130,2.4656701597993244e-08,130,4.503673766001003e-08,130,1.694020161881528e-08,130,3.2813066433002e-08,130,2.17253576354896e-08,130,3.858078801524896e-08
140,1.862659679670255e-08,140,2.891573051340537e-08,140,1.5957004665150452e-08,140,2.6114710667346054e-08,140,1.0547977823649718e-08,140,1.787906678803721e-08,140,1.4586955787865692e-08,140,2.3413069475913394e-08
150,2.7996558226845185e-08,150,4.0794322798706897e-08,150,2.3225452043915743e-08,150,3.400538942926695e-08,150,1.4897588543547274e-08,150,2.1412998961234708e-08,150,2.175694252731992e-08,150,3.181554877387261e-08
160,2.7426938157408237e-08,160,5.2297637878458356e-08,160,2.6287337960201887e-08,160,5.370667978961468e-08,160,1.925261712548664e-08,160,4.0750771528155564e-08,160,2.2944459201840587e-08,160,4.57685671709667e-08
170,1.7622391717873823e-08,170,2.25499018479647e-08,170,1.389356903103314e-08,170,1.791461648786181e-08,170,8.625513542855223e-09,170,1.1689672580535797e-08,170,1.3082959556806904e-08,170,1.696719025974042e-08
180,2.85749035698821e-08,180,5.408483886426992e-08,180,2.737722586744483e-08,180,5.542618196870929e-08,180,1.9702230269762868e-08,180,4.1563270118961674e-08,180,2.375022701552245e-08,180,4.7064349258997806e-08
