序号,数组1,数组2,数组3
1,8.01460077,8.735149609999999,7.508995679999999
2,8.0145586,8.735107439999998,7.50900217
3,8.01459103,8.73509122,7.508963249999999
4,8.01459752,8.735091219999997,7.50895352
5,8.014594270000002,8.735087979999998,7.508950279999999
6,8.01461049,8.73508798,7.508943800000001
7,8.0146267,8.735071759999999,7.508930830000001
8,8.01461049,8.73507501,7.50891462
9,8.014075826568225,8.740033386727076,7.506631890314452
10,8.01441360492652,8.735387444721677,7.511415359821682
11,8.014073521543487,8.736078288384391,7.512257909668434
12,8.014810822312741,8.733548549955895,7.512307925451633
13,8.015436806819881,8.734484608803838,7.510970643808914
14,8.015098296608759,8.732919411702692,7.508527223452271
15,8.01573698719137,8.732282105877855,7.508070550585792
16,8.014140289867987,8.73255830693492,7.5064418973575995
17,8.01395477212784,8.731982194020397,7.507619780012616
18,8.013296986054785,8.734302861112555,7.5064267979614545
19,8.01302617180488,8.73339356094161,7.506279439487375
20,8.013384626045513,8.73391702384647,7.507129550421618
21,8.013403576601306,8.735862599013704,7.507809778551632
22,8.015328927660683,8.733399110081898,7.5081256590019265
23,8.015430666400768,8.735661453836205,7.508443355081646
24,8.013894453854931,8.735772855435636,7.510031854491684
25,8.014131892827557,8.736581923090649,7.510127692455374
26,8.014717650743812,8.736916742448917,7.509210942240361
27,8.015652553457201,8.73699822438829,7.510167433156104
28,8.015238827369135,8.73802769523581,7.510642049332464
29,8.014545376456573,8.736582346197853,7.510612530958499
30,8.015881585275226,8.736001758302312,7.508637185441187
31,8.01444872977808,8.734692444039219,7.506582617299274
32,8.015170690661465,8.733257963709413,7.507363917462023
33,8.015358312523293,8.732451036026887,7.5058030540600695
34,8.01353335693161,8.731566675068109,7.505309764740606
35,8.015583848554412,8.732323416540268,7.506249898654556
36,8.013717823778446,8.733879814661721,7.508291844272051
37,8.015070915168023,8.734674124398289,7.507815956188121
38,8.014744213518933,8.73435928293684,7.506202368825724
39,8.014337703679164,8.735811424247128,7.508546372849034
40,8.015405353144292,8.735853335496861,7.5089144821585405
41,8.012776498333626,8.73661699380147,7.509212813986838
42,8.014404788303652,8.736926761580834,7.509916821196792
43,8.014687276183695,8.736574352971157,7.51019849280774
44,8.014804751115012,8.737816259617427,7.511739724476134
45,8.015890800187602,8.735442971592148,7.510104383644343
46,8.01428338951457,8.73568174441949,7.510026177987241
47,8.01215304924483,8.7346157591803,7.509372385168859
48,8.01031191712337,8.733074908061356,7.5086460304416995
49,8.010195505250483,8.733673950631914,7.508548894266108
50,8.01625409245853,8.731777459932081,7.505186361788098
51,8.013626826342636,8.735340037331827,7.507185150613295
52,8.013550540127063,8.732986949522024,7.51070779798304
53,8.015827168263394,8.733407354341956,7.508850676409417
54,8.016302167937555,8.734308806869809,7.50711798587892
55,8.015979584507505,8.73328190133859,7.509013154981901
56,8.013813214860091,8.736542958696436,7.510455936963448
57,8.015036638475602,8.736054486089637,7.51132103755099
58,8.015520227501979,8.737129514329336,7.509727396017379
59,8.014475722425985,8.73758362503311,7.509254494502151
60,8.015410769921264,8.736221734198024,7.51073679027576
61,8.01463769316747,8.737160657822402,7.509174309953003
62,8.015287395107253,8.734683301317778,7.5096187853959115
63,8.01436210901945,8.737241586794461,7.509677509632527
64,8.013888446902204,8.735225946733918,7.508231502532077
65,8.015177038905355,8.733319884123835,7.50900592761401
66,8.01501181726649,8.734361677103585,7.507774842153822
67,8.01509916569151,8.732483228717062,7.508235860903928
68,8.01406792613838,8.73413311101262,7.506842193599509
69,8.013126737515172,8.73337225404542,7.506178366589827
70,8.014196917517783,8.732557643942716,7.507424415098946
71,8.015014558249167,8.735998543899345,7.507912645264322
72,8.013288231387133,8.735630139683794,7.50961539917288
73,8.016409865015671,8.736985070121284,7.509775381043326
74,8.013983416668852,8.736305778866113,7.509099683398673
75,8.01498597762,8.736276613129577,7.510803845884739
76,8.012782166283435,8.736863820049585,7.5116274024135885
77,8.013584692309609,8.73586391742679,7.511927303223806
78,8.015357134200926,8.735753635736014,7.51048572457879
79,8.013918065624166,8.735095947768956,7.510334280099031
80,8.014394994248871,8.735645427739172,7.510081992667633
81,8.013599595955329,8.735119663021472,7.508507191084947
82,8.013624255253573,8.734862423183488,7.509249158820706
83,8.014944663933921,8.735400923248145,7.508240004091294
84,8.013919976353364,8.733793124217057,7.507980372870217
85,8.015049236615349,8.733630430769098,7.508558678978978
86,8.014564902098993,8.733212518059066,7.506571684699996
87,8.014487906930569,8.73476010535429,7.5083512780934045
88,8.015716056921622,8.734941357456329,7.509123446461774
89,8.012935289693111,8.735823523920404,7.508832735558258
90,8.015737730421712,8.736212900770242,7.509683641480628
91,8.014687137404664,8.737596993567635,7.509866672733031
92,8.014929847399051,8.73714889541405,7.510318014368052
93,8.014631779515385,8.736388069410634,7.510068489414795
94,8.013419178607037,8.736817479351767,7.5105273514930895
95,8.014740959458903,8.735562978937358,7.511580239989757
96,8.0135592206267,8.734935232640591,7.5097315832427975
97,8.01612369394235,8.735325609460721,7.5108609254634136
98,8.01784946155845,8.736012667435636,7.511046235080832
99,8.018364255490987,8.7355240179703,7.507088210145123
100,8.015910283898155,8.734835575607756,7.509989402776027
101,8.016061949464056,8.732184675560879,7.506962457569677
102,8.017890965565982,8.733473339245045,7.505441937372661
103,8.015006903507125,8.73343600519724,7.507384475369963
104,8.012664026971498,8.734508343769853,7.508085909838881
105,8.015438798514692,8.734842239079365,7.509690957291339
106,8.015514415027345,8.736014929814166,7.509162562081397
107,8.01445567409108,8.734637026141591,7.509421228275525
108,8.01391089462993,8.735771806096071,7.510353454486823
109,8.014745636991929,8.737617089204457,7.510136107413957
110,8.016902892038864,8.736987098764304,7.512280408054066
111,8.013713832823132,8.738446723488488,7.510757681329927
112,8.014562222653767,8.7359428139447,7.5100830771502
113,8.014869265234003,8.737146993884286,7.509755737914903
114,8.013552583689039,8.736120556186497,7.508789865591045
115,8.015437406579744,8.73411546613066,7.509629078244211
116,8.014101347060489,8.734661340178453,7.508215436853991
117,8.014651238517015,8.732953819232263,7.50879409608438
118,8.01474546712159,8.733864261370499,7.508522936298838
119,8.013090007471332,8.73295775381425,7.507559023956352
120,8.014384592698196,8.732962052814496,7.5088043853357584
121,8.01425929715601,8.735780250603764,7.508001592174606
122,8.01417658061358,8.73402458079461,7.508849205397223
123,8.014976213606687,8.735355987990344,7.508445171878636
124,8.014311367673123,8.734967379876377,7.508216172424035
125,8.015210607027932,8.735558278540504,7.510435013224959
126,8.014814933954762,8.735830546764099,7.508997153498715
127,8.015423401312113,8.73592012503998,7.511349598533115
128,8.016351235018275,8.738037769364116,7.511242532425528
129,8.014652394476089,8.737774041656362,7.511063479379486
130,8.016708242972106,8.73708365919701,7.511117878001453
131,8.015650510561645,8.736044475014115,7.5081523832272
132,8.015682010507868,8.734478202885755,7.5083735702981516
133,8.015494504184629,8.734194646080354,7.508215146466679
134,8.013715014674707,8.732276883092393,7.507371654406171
135,8.01603040486243,8.73248670512178,7.50722752880484
136,8.014944403130363,8.733387198678761,7.5080853359850215
137,8.01646194608733,8.733489116054534,7.5072926207736455
138,8.015956005861714,8.733326347156133,7.5071015412175734
139,8.01478968934704,8.734721417430366,7.508947755104353
140,8.01462802036124,8.73519752014324,7.509036776565207
141,8.012491321345932,8.73556533735528,7.508571291439833
142,8.014028371507731,8.736307101150054,7.50955653697525
143,8.015139042443838,8.736394263871132,7.5096085755840445
144,8.01441328381106,8.738048542253606,7.511053933188457
145,8.01632207501079,8.73690017536157,7.511510201651991
146,8.014720268867013,8.737059649595148,7.510781386890809
147,8.014042915761786,8.735224811227162,7.509490729344849
148,8.011624460557341,8.733043856620206,7.5084254385933304
149,8.011766578587087,8.734400266149756,7.509452377259883
150,8.015390760831549,8.731437681229414,7.505824791460823
151,8.013448070407852,8.734250355469566,7.505744676610523
152,8.010656485779757,8.733485385317948,7.509085782220771
153,8.01290850709648,8.73306268326047,7.509365843097985
154,8.01375732570302,8.733505028320643,7.507062147524577
155,8.015203598713095,8.732696268834138,7.507967714534913
156,8.013308032779486,8.735045004141204,7.508702807785648
157,8.015434108616677,8.73538979616633,7.509905240403794
158,8.016509390423261,8.735238019386136,7.509391495004972
159,8.01460886737962,8.736983682440282,7.509045888575896
160,8.01609737015196,8.736525793337808,7.51075330095161
161,8.013689072272841,8.737235543202113,7.509053528131908
162,8.013929230019949,8.736265689661781,7.51003107314274
163,8.016050210305986,8.737626161698946,7.510760251928716
164,8.016286031673953,8.737247620759328,7.510239148058949
165,8.01630766677353,8.735513444481667,7.511404861915835
166,8.014556989441056,8.73485765892499,7.507737729261117
167,8.015139806806912,8.733355398032161,7.509048308176232
168,8.014230181944793,8.733344897323711,7.5094326970434455
169,8.01400803661029,8.732843997083968,7.508376502193698
170,8.014381086491174,8.732047925413529,7.508487678642125
171,8.013764478290977,8.732794556575689,7.507117121598339
172,8.014104587240276,8.732616805585037,7.5088008091027385
173,8.01536772036837,8.73529114225472,7.508872044157928
174,8.014296973124251,8.734500868904647,7.507386194927514
175,8.016665123565947,8.736510478946418,7.510439600445411
176,8.014881064239994,8.73702989086824,7.509673384323776
177,8.013674696422902,8.736088773410218,7.510223201362949
178,8.015227976959435,8.737209178239382,7.509609769014386
179,8.013534805908444,8.736897430684209,7.5101037331314195
180,8.014996320768851,8.737308014577188,7.511617645265145
181,8.013670043104993,8.736849398064981,7.5097937374584225
182,8.013194013232622,8.7370102849078,7.510492111858034
183,8.015128215124493,8.736457857227853,7.509396576010034
184,8.014862798001406,8.735334371017597,7.509270380484551
185,8.015080778004092,8.735235699823109,7.508839591973548
186,8.014311759345519,8.733152397125846,7.506976360948457
187,8.013905751998715,8.7328220716566,7.509074734787467
188,8.0141556877483,8.733022971100478,7.510023650516486
189,8.011989805535901,8.733017610588144,7.508544092630562
190,8.01601624135505,8.735183342932528,7.510282014724854
191,8.015151554288954,8.736273680242666,7.509900608294695
192,8.014787459441935,8.735856495674867,7.5096379504846915
193,8.014990979053069,8.735528395374834,7.509485899317279
194,8.014028700196427,8.737221189027828,7.508777995603595
195,8.015659647663059,8.73740282148235,7.510555812610196
196,8.01502234040147,8.73675406191617,7.509143899238297
197,8.017606629535313,8.738268630577952,7.51218723196647
198,8.01886705962862,8.7379454298528,7.514133428986573
199,8.019123094121417,8.739601140938381,7.511971912863536
200,8.013800401725012,8.736568623383913,7.513040936678429
201,8.016587867132031,8.733702568937126,7.508702388024007
202,8.017765207858556,8.734309385130352,7.50673445150205
203,8.015996793932349,8.732927831211084,7.508099965169485
204,8.01336313795428,8.733409833691427,7.508582434362828
205,8.01509167835176,8.733148250147506,7.509516804138752
206,8.014850074678295,8.734767185293192,7.508503990733011
207,8.015376696572877,8.734125681024294,7.509019813383696
208,8.014173110226041,8.733536317095076,7.510147408502156
209,8.012721023908734,8.735785197129502,7.510475576713295
210,8.01503007506464,8.736282453865249,7.51246815777341
211,8.013737811765647,8.737262552122848,7.510208664428008
212,8.013890188285794,8.736168374898266,7.509800307856127
213,8.014212722184755,8.738060238395637,7.511543547652852
214,8.012480237642826,8.738346472293633,7.510538899185255
215,8.014160856510216,8.736895484680332,7.512514271298907
216,8.013594452514754,8.736527717624583,7.509898912997379
217,8.01475712568296,8.734689810892677,7.5106322610035186
218,8.015967820862706,8.73446718364577,7.509385739796797
219,8.014172196977734,8.73321864497433,7.508363502112544
220,8.015515003678097,8.732486787158434,7.50920984210959
221,8.016210675862892,8.734368174635755,7.508035457442252
222,8.014594318072785,8.733076881761864,7.508956108732474
223,8.015002106676164,8.733888419761527,7.509481124082872
224,8.013982171965889,8.733912634885932,7.507614718768949
225,8.014547700919898,8.734542942914157,7.509417795797183
226,8.015097214435528,8.735052009029625,7.5086926510480305
227,8.014947869108711,8.735680946687495,7.510825083585089
228,8.014634428030933,8.736568539299949,7.5118777868011835
229,8.013838310333325,8.736722946261114,7.5112194703112936
230,8.015365379816407,8.738188121348156,7.512249387473718
231,8.015107656578143,8.73714905357603,7.509752710840294
232,8.01661835164601,8.736731538266602,7.509931473018408
233,8.016703217742126,8.735880185832311,7.509265890840272
234,8.01389868703944,8.734422608135066,7.508563527009044
235,8.015849678611808,8.734402802362974,7.508496502586987
236,8.013752724558344,8.733241818266649,7.509176876354227
237,8.015016258260948,8.733591943085678,7.50892560164598
238,8.016364893595156,8.73217945381749,7.5075253255759105
239,8.015740702648893,8.733648416908306,7.508542275001143
240,8.015139015738617,8.733415714736475,7.5091244948428955
241,8.01313759778231,8.733282062637079,7.508344232549586
242,8.01324227458229,8.735122129121665,7.509405645218794
243,8.01426810767864,8.734549015473508,7.509735256244418
244,8.01357137592825,8.736918872401391,7.5100603495891605
245,8.015541155572103,8.737203919293444,7.51080676558252
246,8.015899367545218,8.73698106104649,7.5104906546005115
247,8.013441672805662,8.736131615245768,7.509420290231851
248,8.01237592743471,8.733973926013313,7.509719128193573
249,8.011949463317613,8.7369563650487,7.511392788103891
250,8.01481891162043,8.733894651516948,7.508414231773014
251,8.015046237638407,8.735903593119637,7.507504167662413
252,8.011031217838742,8.737217968035653,7.509080124255642
253,8.013645122928736,8.734644864579632,7.5097597227062725
254,8.013413318294779,8.733287161638303,7.508170998274577
255,8.014528931332027,8.731230349116915,7.5094607042925485
256,8.014005898948263,8.732680736435572,7.510152224354283
257,8.015372512449568,8.73294843279193,7.509395555127863
258,8.016663034966497,8.733324077823468,7.508964353248889
259,8.014671078001681,8.734357719522468,7.508125698080752
260,8.01484245879353,8.735478516444974,7.510070808024255
261,8.01538899106378,8.736379384738264,7.509605290121074
262,8.016938800484658,8.736714104468907,7.509939984497602
263,8.016192499149719,8.737609902682678,7.5107214931654545
264,8.015091429004325,8.738383190835169,7.510228821746249
265,8.015804048371194,8.736754925109782,7.512041601063771
266,8.014512772196245,8.737122797570617,7.508688317149193
267,8.013872020657095,8.735852465694398,7.509479562330459
268,8.014472359309842,8.734594130770729,7.51020393564331
269,8.014419411224146,8.734895403181946,7.509107995784081
270,8.01419383496417,8.734310577710199,7.509606112418928
