x,Sync,Async,Rod,Pos
15.523596449999996,(-0.0003693947351396193-0.0018528301417817987j),(-0.0008509759527965102-3.864570558646658e-05j),(-0.00035656066059154735-0.0018516278772476604j),(-1.283407454807192e-05-1.2022645341379971e-06j)
15.52356077,(-0.0004856143215774821-0.0017968208744712237j),(-0.0008292223583402224-0.00011772515792563552j),(-0.00047303213124223715-0.0017940195540891212j),(-1.258219033524492e-05-2.8013203821024992e-06j)
15.523554279999997,(-0.0004932754979268014-0.0014016826770360076j),(-0.0007903495650244408-4.140241352971449e-05j),(-0.0004811436204622064-0.001397326479301794j),(-1.2131877464594922e-05-4.356197734213562e-06j)
15.52355104,(-0.0005377507262062152-0.001632344577624157j),(-0.0007916815733973739-5.797384210143787e-05j),(-0.0005262604885671193-0.0016265022023783677j),(-1.1490237639095956e-05-5.842375245789689e-06j)
15.523544549999999,(-0.0005438083764637889-0.0013259768908779016j),(-0.0007544110720922909+3.9891899673133804e-05j),(-0.0005331409865616957-0.0013187404758682277j),(-1.0667389902093186e-05-7.236415009673908e-06j)
15.52355429,(-0.0004766682722132104-0.0016597869101366524j),(-0.0008478896364960942+3.8697141155517964e-05j),(-0.0004669919611592659-0.0016512705779506216j),(-9.676311053944563e-06-8.516332186030781e-06j)
15.52355753,(-0.0004934075307919592-0.001140736764956775j),(-0.0007853413139625064+2.6914398131232477e-05j),(-0.00048487489979183196-0.0011310748232403712j),(-8.532631000127192e-06-9.661941716403694e-06j)
15.523525109999998,(-0.0004918989508881304-0.0020812647962276925j),(-0.0008764295563255746+7.2949869995176e-05j),(-0.0004846445646298393-0.0020706096195735476j),(-7.2543862582911255e-06-1.0655176654144707e-05j)
15.520707716882676,(-0.0018812564414451899-0.0005429879474286298j),(-0.003672211486087752+6.0823283504634784e-05j),(-0.001875394705933588-0.0005315075743376738j),(-5.8617355116015085e-06-1.1480373090955855e-05j)
15.5258289647482,(0.0007263718107938509+0.00042627194206732995j),(0.0013610812163865071+0.00010219826558797854j),(0.0007307484524881136+0.00043839645925341006j),(-4.376641694262876e-06-1.2124517186080167e-05j)
