x,Sync,Async,Rod,Pos
9.54,(-0.010303396100581647-0.02711151645260704j),(-0.024012576733903303-4.696244494745892e-05j),(-0.010264471733691084-0.02713882386350296j),(-3.892436689056168e-05+2.730741089592007e-05j)
9.5,(-0.033723699409684185-0.009039594025585405j),(-0.06384860146424054+1.2825121941640188e-05j),(-0.03367978628133404-0.009021361138096753j),(-4.3913128350139556e-05-1.8232887488651885e-05j)
9.52,(-0.020312596013580948+0.02251210323365012j),(-0.04400182982782044+4.803923850405307e-05j),(-0.0203044607188288+0.022558949983878553j),(-8.1352947521515e-06-4.6846750228434035e-05j)
9.59,(0.011374259423804853+0.02874939651761435j),(0.02605189355799678+4.96142635785774e-05j),(0.011339064513281222+0.028781367118185866j),(3.519491052362997e-05-3.19706005715149e-05j)
9.629999999999999,(0.034770425085162183-0.0059000362360824374j),(0.06591669436624784-3.2028627491803925e-05j),(0.034724573038199126-0.005912621577435294j),(4.585204696304992e-05+1.2585341352857033e-05j)
9.58,(0.0063068490018164895-0.028682418828222617j),(0.01611775954128112-5.339417219485475e-05j),(0.006292906401605245-0.028727876555035763j),(1.3942600211244973e-05+4.5457726813150926e-05j)
9.54,(-0.01029600813243065-0.025862449982686494j),(-0.02401532883421231+6.889957185591343e-06j),(-0.01026509772303733-0.025898579577464283j),(-3.0910409393320175e-05+3.612959477778588e-05j)
9.5,(-0.033714356312845084-0.008328342293544748j),(-0.06386257786660526-4.8478633571269036e-05j),(-0.03366728846144041-0.008321602976678938j),(-4.706785140466781e-05-6.739316865809119e-06j)
9.52,(-0.020333729523506483+0.023386802331281036j),(-0.043976065582631264+8.315886441976127e-05j),(-0.020314199500970378+0.02343015413917193j),(-1.9530022536101465e-05-4.335180789089468e-05j)
9.59,(0.011368062326134624+0.029257874334205833j),(0.02605346249859561+1.651353365924315e-05j),(0.01134192389349273+0.02929759313789747j),(2.613843264189417e-05-3.971880369163742e-05j)
9.629999999999999,(0.03476520755601959-0.005173419951829458j),(0.0659265374663332+3.170946310306614e-05j),(0.034717666188306934-0.005174206961155373j),(4.7541367712662536e-05+7.870093259146396e-07j)
9.58,(0.006341787476001512-0.028250687423228414j),(0.01607819809019871-0.00010476153677160524j),(0.006316978031262618-0.0282912496282895j),(2.4809444738893674e-05+4.0562205061084265e-05j)
9.54,(-0.010327115926775803-0.025078593249768032j),(-0.02397960066494718+4.54704089762779e-05j),(-0.01030616168958244-0.025121274873112442j),(-2.095423719336268e-05+4.268162334440859e-05j)
9.5,(-0.0336702784182585-0.00796834050378832j),(-0.06391127352622675-8.723054328404833e-05j),(-0.033623013290006505-0.007973518213609506j),(-4.72651282519921e-05+5.177709821186094e-06j)
9.52,(-0.020379210415172166+0.024491398098491053j),(-0.043925969543737634+9.412311379626421e-05j),(-0.020349512807994456+0.024528531010517825j),(-2.9697607177709617e-05-3.7132912026773754e-05j)
9.59,(0.011386436423484659+0.029555441303021512j),(0.026030475879718008+3.2737677739004085e-07j),(0.01137099684257782+0.029600412631321786j),(1.543958090683732e-05-4.497132830027253e-05j)
9.629999999999999,(0.03472735257419651-0.002122761324559281j),(0.06596900233606902+7.1917922190675e-05j),(0.034681109084712544-0.002111700551167888j),(4.624348948396872e-05-1.1060773391392805e-05j)
9.59,(0.01140327589730233-0.027981845697951892j),(0.026012102422498035-0.00012053304482284325j),(0.011369158476691489-0.028014963708739564j),(3.4117420610842466e-05+3.311801078767459e-05j)
9.54,(-0.01037597944140177-0.028569054924597763j),(-0.023926132553320323+4.6405408343013076e-05j),(-0.010366298008195517-0.028615606733142035j),(-9.681433206252557e-06+4.655180854427182e-05j)
9.5,(-0.033614989734148885-0.00773748467579401j),(-0.06397116415004313-8.577621541418389e-05j),(-0.03357049717088662-0.007754254077751843j),(-4.449256326226155e-05+1.6769401957831493e-05j)
9.52,(-0.020425884530952114+0.022702400621681523j),(-0.04387469615343349+6.831977726184004e-05j),(-0.02038788534901193+0.022730981440416236j),(-3.7999181940183154e-05-2.85808187347131e-05j)
9.59,(0.011408085829558918+0.02975947277412959j),(0.026004229872182892+1.3128535453703246e-05j),(0.011404315226038322+0.029806870913088413j),(3.7706035205973306e-06-4.739813895882546e-05j)
9.629999999999999,(0.034681542893918754-0.0056544446636405j),(0.06601940593687296+7.550203091378505e-05j),(0.034639502931179414-0.0056322310966026605j),(4.2039962739339525e-05-2.2213567037840018e-05j)
9.58,(0.006461708983900932-0.0278051451748271j),(0.015949078104183695-9.194799305730717e-05j),(0.0064204273104302165-0.02782873806492405j),(4.128167347071615e-05+2.3592890096951657e-05j)
9.54,(-0.01041200028861343-0.025519117181796322j),(-0.023885523171069272+7.168195450477378e-06j),(-0.010414199979448457-0.025566614154204047j),(2.1996908350270837e-06+4.7496972407722656e-05j)
